Y,X,Sampling year,Reference,Study,Time,PO4 mg/l,PO4_sd,NO2 mg/l,NO2_sd,COD mg/l,COD_sd,BOD mg/l,BOD_sd,DO mg/l,DO_sd,pH,pH_sd,TDS mg/l,TDS_sd,Temp,Temp_sd,TKN,TKN_sd,NO3-N,NO3_sd,EC,EC_sd,NO3 mg/l,Na mg/l,K mg/l,Ca mg/l,Mg mg/l,HCO3 mg/l,Cl mg/l,SO4 mg/l,SiO2 mg/l,Cr µg/l,Cr_sd,Mn  µg/l,Mn_sd,Ni  µg/l,Ni_sd,Zn µg/l,Zn_sd,As µg/l,Pb  µg/l,Pb_sd,Cd  µg/l,Cd_sd,Co  µg/l,Co_sd,Cu  µg/l,Cu_sd,NH3 mg/l,Cd mg/kg,Cd_sd mg/kg,Cr mg/kg,Cr_sd mg/kg,Cu mg/kg,Cu_sd mg/kg,Fe mg/kg,Fe_sd mg/kg,Pb mg/kg,Pb_mg/kg,Mn mg/kg,Mn_sd mg/kg,Ni mg/kg,Ni_sd mg/kg,Zn mg/kg,Zn_sd mg/kg
38.6797041,9.0586852,2002,Me_02,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,-0.01,236,-3,1.35,-0.07,7.67,-0.19,,0.055,-0.001,0.003,-0.001,0.45,-0.02,1.07,-0.05,,,,,,,,,,,,,,,,,
38.6802685,9.0577578,2002,Me_03,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,-0.01,85,-1,1.09,-0.03,7.75,-1.15,,0.059,-0.013,0.009,-0.001,0.23,-0.01,1.1,-0.1,,,,,,,,,,,,,,,,,
38.6800805,9.0593971,2002,Me_04,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,-0.02,88,-2,1.09,-0.06,3.02,-0.19,,0.041,-0.008,0.005,-0.001,0.25,-0.01,1.13,-0.03,,,,,,,,,,,,,,,,,
38.6868011,9.0510909,2002,Me_05,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,-0.01,131,-1,1,-0.1,2.43,-0.01,,0.057,-0.008,0.006,-0.001,0.35,-0.01,1.22,-0.01,,,,,,,,,,,,,,,,,
38.6890136,9.0503503,2002,Me_06,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,-0.02,75,-1,1.08,-0.03,23.63,-0.31,,0.96,-0.03,0.003,-0.001,0.28,-0.01,10.02,-0.11,,,,,,,,,,,,,,,,,
38.6887415,9.0482813,2002,Me_07,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9,-0.7,103,-1,1.67,-0.04,22.46,-0.79,,3.36,-0.06,0.024,-0.001,0.58,-0.01,13.34,-0.42,,,,,,,,,,,,,,,,,
38.6888354,9.0473628,2002,Me_08,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,-1.1,138,-2,2.18,-0.11,12.96,-2.02,,0.31,-0.04,0.022,-0.006,0.52,-0.01,4.07,-0.29,,,,,,,,,,,,,,,,,
38.6946887,9.0424699,2002,Me_09,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.43,-0.71,444,-6,2.14,-0.13,8.49,-0.44,,0.304,-0.076,0.056,-0.007,0.74,-0.02,2.81,-0.07,,,,,,,,,,,,,,,,,
38.7005889,9.0212564,2002,Me_10,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.63,-0.11,1463,-65,3.14,-0.06,4.5,-0.15,,0.155,-0.022,0.012,-0.001,1.9,-0.01,1.83,-0.11,,,,,,,,,,,,,,,,,
38.7012999,9.0202979,2002,Me_11,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97,-0.08,1114,-90,3.08,-0.04,10.95,-0.19,,0.11,-0.01,0.009,-0.001,1.41,-0.01,2.6,-0.11,,,,,,,,,,,,,,,,,
38.708388,9.0198847,2002,Me_12,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,-0.06,1825,-24,4.35,-0.19,28.78,-1.03,,6.22,-0.31,0.01,-0.001,1.94,-0.04,17.09,-0.19,,,,,,,,,,,,,,,,,
